FIPS,T2
30073,94.44
30075,98.71
30077,86.02
30079,99.79
30081,85.37
30083,98.46
30085,98.65
30087,99.95
30089,90.84
30091,97.95
30093,87.21
30095,95.52
30097,92.01
30099,93.02
30101,97.41
30103,101.32
30105,98.2
30107,94.53
30109,97.3
30111,102.34
31001,94.28
31003,94.51
31005,96.93
31007,99.75
31009,96.93
31011,93.22
31013,99.0
31015,93.38
31017,94.66
31019,97.07
31021,92.84
31023,91.94
31025,92.1
31027,93.22
31029,97.79
31031,95.02
31033,99.05
31035,92.79
31037,92.57
31039,93.43
31041,95.25
31043,92.86
31045,100.09
31047,97.18
31049,99.18
31051,91.76
31053,93.36
31055,93.22
31057,98.71
31059,91.98
31061,97.25
31063,99.1
31065,102.06
31067,91.94
31069,98.55
31071,95.09
31073,99.99
31075,95.97
31077,95.09
31079,95.07
31081,92.57
31083,99.7
31085,97.41
31087,100.18
31089,94.33
31091,94.6
31093,96.04
31095,92.86
31097,91.51
31099,96.31
31101,96.35
31103,95.13
31105,98.38
31107,94.93
31109,92.5
31111,96.93
31113,96.69
31115,95.81
31117,95.31
31119,93.51
31121,94.24
31123,100.54
31125,94.66
31127,91.26
31129,93.51
31131,92.23
31133,91.81
31135,97.36
31137,98.73
31139,94.33
31141,94.01
31143,93.38
31145,102.34
31147,90.77
31149,94.03
31151,91.81
31153,92.82
31155,93.04
31157,102.54
31159,91.56
31161,97.5
31163,95.81
31165,98.94
31167,92.7
31169,92.64
31171,96.33
31173,92.82
31175,96.37
31177,92.05
31179,93.33
31181,95.32
31183,95.72
31185,92.59
32001,100.83
32003,108.34
32005,93.06
32007,94.1
32009,97.72
32011,96.4
32013,97.18
32015,96.37
32017,101.62
32019,95.79
32021,94.33
32023,98.76
32027,99.43
32029,96.75
32031,93.83
32033,93.61
32510,93.52
33001,80.04
33003,78.91
33005,80.78
33007,76.84
33009,78.48
33011,80.78
33013,79.93
33015,81.59
33017,79.48
33019,79.88
34001,83.79
34003,85.82
34005,84.61
34007,84.87
34009,80.8
34011,83.01
34013,86.05
34015,84.06
34017,86.99
34019,83.77
34021,84.63
34023,84.83
34025,82.42
34027,83.28
34029,83.28
34031,83.7
34033,83.91
34035,85.05
34037,82.87
34039,86.02
34041,83.71
35001,94.48
35003,87.22
35005,100.38
35006,88.16
35007,88.77
35009,98.98
35011,99.12
35013,99.07
35015,100.38
35017,93.74
35019,96.78
35021,97.59
35023,97.12
35025,99.39
35027,91.87
35028,85.93
35029,98.71
35031,91.22
35033,87.31
35035,93.0
35037,99.55
35039,85.32
35041,99.46
35043,90.52
35045,95.61
35047,92.77
35049,90.03
35051,95.76
35053,93.15
35055,82.58
35057,91.29
35059,96.03
35061,96.57
36001,83.46
36003,82.44
36005,86.63
36007,83.12
36009,83.23
36011,82.35
36013,78.35
36015,83.61
36017,81.91
36019,79.45
36021,85.46
36023,82.71
36025,79.27
36027,85.24
36029,81.34
36031,77.79
36033,78.78
36035,81.19
36037,82.63
36039,80.46
36041,78.91
36043,79.9
36045,79.75
36047,86.05
36049,82.04
36051,85.3
36053,82.87
36055,72.57
36057,82.04
36059,81.93
36061,87.06
36063,71.28
36065,83.82
36067,86.45
36069,84.97
36071,84.07
36073,71.47
36075,79.02
36077,79.92
36079,83.5
36081,83.1
36083,83.84
36085,84.06
36087,84.51
36089,82.85
36091,83.71
36093,84.13
36095,79.59
36097,84.09
36099,86.59
36101,83.12
36103,79.2
36105,80.94
36107,83.8
36109,83.82
36111,82.72
36113,80.8
36115,83.88
36117,72.46
36119,84.47
36121,83.88
36123,85.42
37001,86.5
37003,84.81
37005,78.82
37007,88.74
37009,77.27
37011,75.94
37013,87.73
37015,87.44
37017,89.53
37019,87.17
37021,80.26
37023,84.61
37025,86.77
37027,83.98
37029,84.78
37031,84.87
37033,86.81
37035,86.22
37037,87.01
37039,82.63
37041,86.22
37043,80.69
37045,86.95
37047,89.46
37049,88.7
37051,88.03
37053,81.99
37055,81.9
37057,86.43
37059,86.47
37061,87.58
37063,86.81
37065,86.72
37067,86.05
37069,86.49
37071,87.94
37073,86.38
37075,80.19
37077,86.4
37079,86.4
37081,85.89
37083,87.1
37085,86.85
37087,76.51
37089,81.19
37091,86.58
37093,88.16
37095,84.56
37097,85.86
37099,78.21
37101,86.83
37103,88.0
37105,87.19
37107,86.86
37109,85.86
37111,82.71
37113,79.25
37115,80.11
37117,86.81
37119,87.06
37121,78.19
37123,86.4
37125,86.32
37127,86.97
37129,86.13
37131,86.58
37133,89.02
37135,86.38
37137,87.57
37139,85.26
37141,88.68
37143,85.3
37145,86.76
37147,86.13
37149,85.19
37151,86.63
37153,88.39
37155,89.02
37157,86.02
37159,86.02
37161,85.55
37163,87.33
37165,89.29
37167,86.14
37169,85.57
37171,84.04
37173,78.21
37175,79.95
37177,85.28
37179,88.0
37181,86.67
37183,86.5
37185,86.29
37187,86.86
37189,77.04
37191,86.77
37193,83.26
37195,86.56
